,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.40,4.722229386,0.953863179,2.990342667,-1.246286994,-8.154087847,92.67049449,1,0,1,1,1,1
result.41,6.387167527,0.804796311,2.826432261,-2.728346014,-26.74395062,102.658141,1,1,1,0,0,1
result.42,3.62118241,0.966097437,2.380992765,-1.9506496,-23.03399127,96.42651735,1,0,1,1,1,1
result.43,5.478353732,0.821734368,2.157895814,-2.225179998,-24.01626123,104.7295484,1,1,1,0,0,1
result.44,4.582938975,0.900554774,3.288000271,-2.48474518,-26.17021838,96.57022572,1,1,1,0,0,1
result.45,4.463627624,0.89328192,1.119551993,-2.298133378,-24.76517014,105.4354124,1,1,0,0,0,1
result.46,5.312877375,0.908971545,2.792475829,-2.421659137,-27.41976331,98.94682516,1,1,1,0,1,1
result.47,5.569960665,0.895842903,3.861471588,-0.396482041,-8.770048658,86.21308562,1,1,1,1,1,0
result.48,6.128220771,0.917448071,2.045424277,-1.059579306,-9.911483766,105.0015231,1,1,1,1,1,1
result.49,2.792169564,0.978351575,2.670246491,-1.801303681,-11.15027361,96.79994401,1,0,1,1,1,1
result.50,4.120846499,0.783712562,3.612865146,-2.467483688,-25.26363239,105.7670426,1,1,1,0,0,1
result.51,4.178157479,0.866486691,3.311543668,-2.582334325,-25.51296548,102.0012072,1,1,1,0,0,1
result.52,3.568223571,0.978499303,3.556996286,-1.98080588,-15.28631017,99.34208049,1,0,1,1,1,1
result.53,4.381918885,0.940919843,3.483306497,-0.509085658,-8.289063661,98.02992154,1,1,1,1,1,1
result.54,5.022751796,0.945231725,3.256769614,-0.88678194,-9.938130251,94.54197873,1,1,1,1,1,1
result.55,4.792942778,0.916469897,3.342787382,-2.428075127,-23.10017207,90.33181922,1,1,1,1,1,0
result.56,6.442264377,0.793563226,4.101441904,-2.948185734,-23.77070737,100.5775171,1,0,1,0,0,1
result.57,5.896008451,0.899908702,3.587401681,-0.285264115,-5.209737551,102.2170594,1,1,1,1,1,1
result.58,5.968671961,0.821261699,4.540752494,-3.02868452,-26.36451862,109.1209395,1,1,0,0,0,1
result.59,4.574357377,0.958790416,2.941623669,-1.049711406,-8.858100449,91.28118466,1,0,1,1,1,1
result.60,4.344411869,0.843633675,2.80828907,-2.201188881,-21.89143939,109.7577919,1,1,1,0,0,0
result.61,4.832541254,0.948835246,3.394411495,-0.62180688,-3.853919011,100.9877022,1,1,1,1,1,1
result.62,4.981281213,0.979329761,2.504393211,-1.684345161,-14.94855684,81.83353384,1,0,1,1,1,0
result.63,6.962960264,0.906069529,3.142630212,-3.040416713,-29.10083866,90.04966497,1,1,1,1,1,1
result.64,5.585733545,0.93563981,2.726846894,-1.069934773,-9.904329438,101.0822682,1,1,1,1,1,1
result.65,4.684026978,0.877225183,1.771683765,-2.106832633,-23.99658954,99.01713338,1,1,1,0,0,1
result.66,5.363388103,0.889020452,2.914857188,0.360739304,-0.041313561,102.1095887,1,1,1,1,1,1
result.67,5.70397964,0.872180099,2.92382036,1.346657535,4.395758075,105.0339074,1,1,1,1,1,1
result.68,3.564029217,0.926759083,3.150997912,0.211513478,-2.022554682,93.83381418,0,1,1,1,1,1
result.69,3.630071083,0.894692752,3.746591875,-2.43769233,-24.86306917,109.4851485,1,1,1,0,0,1
result.70,4.429291412,0.855925581,3.102072867,-2.169253044,-23.62909001,102.7817967,1,1,1,0,0,1
result.71,4.769871678,0.884922766,3.286618872,-2.463471023,-25.13153622,97.4717552,1,1,1,0,0,1
result.72,5.675816455,0.934637171,3.521455102,-0.639412472,-5.279903808,102.7753197,1,1,1,1,1,1
result.73,4.932073428,0.846170934,1.861081743,-2.373977344,-25.16889074,102.7185646,1,1,1,0,0,1
result.74,6.373751056,0.886268886,3.551516367,-0.478881533,-9.290403946,100.8837398,1,1,1,1,1,1
result.75,6.380327784,0.926905108,3.38401385,-3.355871281,-34.3122832,98.70928727,1,1,1,1,1,1
result.76,4.570460553,0.947564363,2.418938652,-2.520692233,-28.67517025,91.07120532,1,0,1,1,1,0
result.77,6.425835071,0.86291098,3.211261912,0.095909601,-5.548565961,105.4585846,1,1,1,1,0,1
result.78,3.874419706,0.948973697,2.485591844,0.172799636,5.577778025,94.23631756,1,1,1,1,1,1
result.79,5.676793691,0.953564088,1.759233305,-1.173304636,-10.12316573,98.13735584,1,0,1,1,1,1
result.80,4.358879821,0.946591339,4.02207576,-0.635013801,-7.514964356,96.43236206,1,1,1,1,1,1
result.81,4.865182307,0.936079779,2.726415684,-0.044837258,2.297017145,107.040114,1,1,1,1,1,1
result.82,5.261764273,0.863982724,4.548143721,-0.16802677,-10.35354053,99.75508992,1,1,1,1,1,1
result.83,4.223094458,0.957907965,3.016651371,-1.357120241,-11.97447046,94.14748058,1,0,1,1,1,1
result.84,5.985294155,0.866218848,4.399125155,-0.258761311,-10.43920113,106.895987,1,1,1,1,1,1
result.85,3.376145884,0.974215815,4.023189966,-1.159650869,-5.270957494,101.2361862,1,0,1,1,1,1
result.86,5.035842287,0.9567813,3.804266501,-1.017322357,-8.166308809,99.46357192,1,0,1,1,1,1
result.87,4.196327019,0.908351411,3.309058908,-2.478455987,-26.54060108,97.49316107,1,1,1,0,0,1
result.88,5.751528372,0.880404299,2.504049807,-2.442818805,-25.0464103,100.5583083,1,1,1,0,0,1
